XX LL 00 01 04 05 08 09 0B 0C 0D 10 11 13 14 15 16 17 1A 1C 1E 1F 
FF 14 00 9C 01 92 6C 44 00 B1 23 00 44 08 01 28 16 78 80 79 40 02 
FF 14 00 9C 01 93 6C 44 00 B1 23 00 44 08 01 28 16 78 80 79 40 02 
FF 14 00 9C 01 91 6C 45 00 B0 23 00 44 08 01 27 16 79 80 79 40 02 
FF 14 00 9C 01 92 6C 45 00 B0 23 00 44 08 01 27 16 79 80 79 40 02 
FF 14 00 9C 01 93 6C 45 00 B0 23 00 44 08 01 28 16 79 80 79 40 02 
FF 14 00 9C 01 90 6C 44 00 B0 23 00 44 08 01 25 16 79 80 79 40 02 
FF 14 00 9C 01 94 6C 44 00 B1 23 00 44 08 01 25 16 78 80 79 40 02 
FF 14 00 9C 01 8F 6C 45 00 B1 23 00 44 08 01 25 16 78 80 79 40 02 
FF 14 00 9C 01 92 6C 45 00 B1 23 00 44 08 01 25 16 78 80 79 40 02 
FF 14 00 9C 01 93 6C 45 00 B1 23 00 44 08 01 26 16 78 80 79 40 02 
FF 14 00 9C 01 91 6C 45 00 B1 23 00 44 08 01 26 16 78 80 79 40 02 
FF 14 00 9C 01 92 6C 45 00 B1 23 00 44 08 01 26 16 78 80 79 40 02 
FF 14 00 9C 01 92 6C 45 00 B1 23 00 44 08 01 25 16 78 80 79 40 02 
FF 14 00 9C 01 93 6C 45 00 B1 23 00 44 08 01 27 16 78 80 79 40 02 
FF 14 00 9C 01 93 6C 45 00 B1 23 00 44 08 01 27 16 78 80 79 40 02 
FF 14 00 9C 01 93 6C 45 00 B1 23 00 44 08 01 27 16 78 80 79 40 02 
FF 14 00 9C 01 92 6C 45 00 B1 23 00 44 08 01 28 16 78 80 79 40 02 
FF 14 00 9C 01 92 6C 45 00 B1 23 00 44 08 01 26 16 78 80 79 40 02 
FF 14 00 9C 01 93 6C 45 00 B1 23 00 44 08 01 27 16 78 80 79 40 02 
FF 14 00 9C 01 91 6C 45 00 B1 23 00 44 08 01 27 16 78 80 79 40 02 
FF 14 00 9C 01 92 6C 45 00 B1 23 00 44 08 01 25 16 78 80 79 40 02 
FF 14 00 9C 01 94 6C 45 00 B1 23 00 44 08 01 26 16 78 80 79 40 02 
FF 14 00 9C 01 93 6C 45 00 B1 23 00 44 08 01 27 16 78 80 79 40 02 
FF 14 00 9C 01 92 6C 45 00 B1 23 00 44 08 01 27 16 78 80 79 40 02 
FF 14 00 9C 01 92 6C 45 00 B1 23 00 44 08 01 27 16 78 80 79 40 02 
FF 14 00 9C 01 91 6C 45 00 B1 23 00 44 08 01 25 16 78 80 79 40 02 
FF 14 00 9C 01 93 6C 45 00 B1 23 00 44 08 01 25 16 78 80 79 40 02 
FF 14 00 9C 01 93 6C 45 00 B1 23 00 44 08 01 26 16 78 80 79 40 02 
FF 14 00 9B 01 93 6C 45 00 B1 23 00 44 08 01 28 16 78 80 79 40 02 
FF 14 00 9B 01 95 6C 45 00 B1 23 00 44 08 01 2A 16 78 80 79 40 02 
FF 14 00 9C 01 91 6C 45 00 B1 23 00 44 08 01 27 16 78 80 79 40 02 
FF 14 00 9C 01 91 6C 45 00 B1 23 00 44 08 01 26 16 78 80 79 40 02 
FF 14 00 9C 01 91 6C 45 00 B1 23 00 44 08 01 25 16 78 80 79 40 02 
FF 14 00 9C 01 93 6C 45 00 B1 23 00 44 08 01 25 16 78 80 79 40 02 
FF 14 00 9C 01 92 6C 45 00 B1 23 00 44 08 01 26 16 78 80 79 40 02 
FF 14 00 9C 01 92 6C 46 00 B1 23 00 44 08 01 26 16 78 80 79 40 02 
FF 14 00 9C 01 91 6C 46 00 B1 23 00 44 08 01 26 16 78 80 79 40 02 
